policyId,county,construction
119736,CLAY COUNTY,Masonry
448094,CLAY COUNTY,Masonry
206893,CLAY COUNTY,Wood
333743,CLAY COUNTY,Wood
172534,CLAY COUNTY,Wood
785275,CLAY COUNTY,Masonry
995932,CLAY COUNTY,Reinforced Concrete
223488,CLAY COUNTY,Wood
433512,CLAY COUNTY,Wood
142071,CLAY COUNTY,Masonry
253816,CLAY COUNTY,Masonry
894922,CLAY COUNTY,Wood
422834,CLAY COUNTY,Wood
582721,CLAY COUNTY,Wood
842700,CLAY COUNTY,Wood
874333,CLAY COUNTY,Wood
580146,CLAY COUNTY,Wood
456149,CLAY COUNTY,Wood
767862,CLAY COUNTY,Wood
353022,CLAY COUNTY,Wood
367814,CLAY COUNTY,Wood
671392,CLAY COUNTY,Reinforced Concrete
772887,CLAY COUNTY,Masonry
983122,CLAY COUNTY,Wood
934215,CLAY COUNTY,Wood
385951,CLAY COUNTY,Wood
716332,CLAY COUNTY,Wood
751262,CLAY COUNTY,Wood
633663,CLAY COUNTY,Wood
105851,CLAY COUNTY,Wood
710400,CLAY COUNTY,Wood
703001,CLAY COUNTY,Wood
352792,CLAY COUNTY,Masonry
717603,CLAY COUNTY,Wood
937659,SUWANNEE COUNTY,Wood
294022,SUWANNEE COUNTY,Wood
410500,SUWANNEE COUNTY,Wood
524433,SUWANNEE COUNTY,Wood
779298,SUWANNEE COUNTY,Masonry
491831,SUWANNEE COUNTY,Wood
814637,SUWANNEE COUNTY,Wood
737515,SUWANNEE COUNTY,Wood
222653,SUWANNEE COUNTY,Wood
788543,SUWANNEE COUNTY,Wood
691681,SUWANNEE COUNTY,Wood
368807,SUWANNEE COUNTY,Wood
174002,SUWANNEE COUNTY,Wood
198760,SUWANNEE COUNTY,Wood
831395,SUWANNEE COUNTY,Wood
305698,SUWANNEE COUNTY,Wood
515722,SUWANNEE COUNTY,Wood
415582,SUWANNEE COUNTY,Wood
783533,SUWANNEE COUNTY,Wood
640802,SUWANNEE COUNTY,Wood
403866,SUWANNEE COUNTY,Wood
828788,SUWANNEE COUNTY,Wood
751490,SUWANNEE COUNTY,Wood
972562,SUWANNEE COUNTY,Wood
367541,SUWANNEE COUNTY,Wood
481360,SUWANNEE COUNTY,Wood
920232,NASSAU COUNTY,Wood
727659,NASSAU COUNTY,Wood
471817,NASSAU COUNTY,Wood
983043,NASSAU COUNTY,Wood
578286,NASSAU COUNTY,Wood
347276,NASSAU COUNTY,Wood
477786,NASSAU COUNTY,Reinforced Masonry
265907,NASSAU COUNTY,Wood
107560,NASSAU COUNTY,Masonry
908183,NASSAU COUNTY,Wood
356024,NASSAU COUNTY,Wood
575299,NASSAU COUNTY,Wood
790478,NASSAU COUNTY,Wood
801776,NASSAU COUNTY,Wood
291781,NASSAU COUNTY,Masonry
537286,NASSAU COUNTY,Masonry
289305,COLUMBIA COUNTY,Wood
697409,COLUMBIA COUNTY,Wood
633944,COLUMBIA COUNTY,Wood
963511,COLUMBIA COUNTY,Wood
729649,COLUMBIA COUNTY,Masonry
862584,COLUMBIA COUNTY,Wood
371891,COLUMBIA COUNTY,Wood
785595,COLUMBIA COUNTY,Wood
567696,COLUMBIA COUNTY,Wood
219025,COLUMBIA COUNTY,Wood
447216,COLUMBIA COUNTY,Wood
305141,COLUMBIA COUNTY,Wood
625575,COLUMBIA COUNTY,Wood
262109,COLUMBIA COUNTY,Wood
228457,COLUMBIA COUNTY,Masonry
622799,COLUMBIA COUNTY,Wood
233271,COLUMBIA COUNTY,Reinforced Masonry
932950,COLUMBIA COUNTY,Wood
641952,COLUMBIA COUNTY,Reinforced Masonry
796260,COLUMBIA COUNTY,Masonry
301822,COLUMBIA COUNTY,Reinforced Masonry
559927,COLUMBIA COUNTY,Wood
224400,COLUMBIA COUNTY,Masonry
123936,COLUMBIA COUNTY,Reinforced Masonry
333818,COLUMBIA COUNTY,Masonry
254323,COLUMBIA COUNTY,Masonry
247444,COLUMBIA COUNTY,Wood
882598,COLUMBIA COUNTY,Masonry
386918,COLUMBIA COUNTY,Wood
497337,COLUMBIA COUNTY,Wood
526844,COLUMBIA COUNTY,Reinforced Masonry
623400,COLUMBIA COUNTY,Wood
826170,COLUMBIA COUNTY,Wood
185483,COLUMBIA COUNTY,Wood
920003,COLUMBIA COUNTY,Masonry
274246,COLUMBIA COUNTY,Wood
423636,COLUMBIA COUNTY,Masonry
970906,COLUMBIA COUNTY,Reinforced Masonry
227898,COLUMBIA COUNTY,Wood
525138,COLUMBIA COUNTY,Wood
923627,COLUMBIA COUNTY,Wood
619743,COLUMBIA COUNTY,Wood
910727,COLUMBIA COUNTY,Wood
363647,COLUMBIA COUNTY,Wood
512519,COLUMBIA COUNTY,Wood
904304,COLUMBIA COUNTY,Wood
835349,COLUMBIA COUNTY,Wood
891725,COLUMBIA COUNTY,Wood
923503,COLUMBIA COUNTY,Wood
292347,COLUMBIA COUNTY,Wood
363828,COLUMBIA COUNTY,Wood
110490,COLUMBIA COUNTY,Wood
480733,COLUMBIA COUNTY,Masonry
993346,COLUMBIA COUNTY,Masonry
934992,ST  JOHNS COUNTY,Wood
645841,ST  JOHNS COUNTY,Masonry
747846,ST  JOHNS COUNTY,Wood
482457,ST  JOHNS COUNTY,Wood
574787,ST  JOHNS COUNTY,Wood
831418,ST  JOHNS COUNTY,Wood
968562,ST  JOHNS COUNTY,Wood
576324,ST  JOHNS COUNTY,Wood
290435,ST  JOHNS COUNTY,Wood
526086,ST  JOHNS COUNTY,Wood
119823,ST  JOHNS COUNTY,Wood
497414,ST  JOHNS COUNTY,Wood
340883,ST  JOHNS COUNTY,Wood
892551,ST  JOHNS COUNTY,Wood
670595,ST  JOHNS COUNTY,Wood
194101,ST  JOHNS COUNTY,Wood
167200,ST  JOHNS COUNTY,Wood
139064,ST  JOHNS COUNTY,Wood
846636,ST  JOHNS COUNTY,Wood
310177,NASSAU COUNTY,Wood
865452,NASSAU COUNTY,Wood
783429,NASSAU COUNTY,Wood
878060,NASSAU COUNTY,Wood
935342,NASSAU COUNTY,Wood
456376,NASSAU COUNTY,Wood
363001,NASSAU COUNTY,Wood
478864,NASSAU COUNTY,Masonry
600402,NASSAU COUNTY,Reinforced Masonry
483983,NASSAU COUNTY,Masonry
991615,NASSAU COUNTY,Wood
644573,NASSAU COUNTY,Masonry
853278,NASSAU COUNTY,Wood
100658,NASSAU COUNTY,Wood
433115,NASSAU COUNTY,Wood
760337,NASSAU COUNTY,Wood
884738,NASSAU COUNTY,Masonry
610102,NASSAU COUNTY,Reinforced Masonry
830823,NASSAU COUNTY,Masonry
618364,NASSAU COUNTY,Wood
712563,NASSAU COUNTY,Wood
493030,NASSAU COUNTY,Masonry
188150,NASSAU COUNTY,Reinforced Masonry
589642,NASSAU COUNTY,Masonry
846109,NASSAU COUNTY,Wood
399079,NASSAU COUNTY,Wood
680135,NASSAU COUNTY,Wood
621379,NASSAU COUNTY,Wood
606710,NASSAU COUNTY,Wood
443319,NASSAU COUNTY,Wood
228591,NASSAU COUNTY,Wood
721610,NASSAU COUNTY,Wood
507395,NASSAU COUNTY,Wood
213399,NASSAU COUNTY,Wood
579400,NASSAU COUNTY,Wood
509951,NASSAU COUNTY,Wood
930798,NASSAU COUNTY,Wood
729247,NASSAU COUNTY,Wood
288344,NASSAU COUNTY,Wood
275351,NASSAU COUNTY,Wood
976690,NASSAU COUNTY,Wood
507111,NASSAU COUNTY,Wood
547458,NASSAU COUNTY,Wood
827732,NASSAU COUNTY,Wood
229489,NASSAU COUNTY,Wood
175251,NASSAU COUNTY,Wood
590043,NASSAU COUNTY,Wood
476037,NASSAU COUNTY,Wood
674960,NASSAU COUNTY,Wood
743790,NASSAU COUNTY,Reinforced Masonry
817283,NASSAU COUNTY,Reinforced Concrete
201980,NASSAU COUNTY,Wood
351505,NASSAU COUNTY,Wood
798806,NASSAU COUNTY,Masonry
153643,NASSAU COUNTY,Wood
683653,NASSAU COUNTY,Wood
475264,NASSAU COUNTY,Reinforced Concrete
912944,NASSAU COUNTY,Masonry
945134,NASSAU COUNTY,Wood
219959,NASSAU COUNTY,Wood
793504,NASSAU COUNTY,Wood
450423,NASSAU COUNTY,Wood
505178,NASSAU COUNTY,Wood
408688,NASSAU COUNTY,Masonry
477759,NASSAU COUNTY,Wood
882441,NASSAU COUNTY,Wood
727602,NASSAU COUNTY,Wood
313226,NASSAU COUNTY,Wood
337027,NASSAU COUNTY,Wood
649251,NASSAU COUNTY,Wood
142564,NASSAU COUNTY,Wood
197782,NASSAU COUNTY,Masonry
709787,NASSAU COUNTY,Wood
655065,NASSAU COUNTY,Wood
176778,NASSAU COUNTY,Reinforced Masonry
559179,NASSAU COUNTY,Masonry
698071,NASSAU COUNTY,Wood
642950,NASSAU COUNTY,Masonry
477240,NASSAU COUNTY,Wood
672348,NASSAU COUNTY,Wood
922844,NASSAU COUNTY,Wood
948580,NASSAU COUNTY,Wood
364552,NASSAU COUNTY,Wood
561601,NASSAU COUNTY,Masonry
584749,NASSAU COUNTY,Wood
601327,COLUMBIA COUNTY,Wood
302578,COLUMBIA COUNTY,Wood
756585,COLUMBIA COUNTY,Wood
627591,COLUMBIA COUNTY,Wood
663563,COLUMBIA COUNTY,Masonry
108959,COLUMBIA COUNTY,Wood
951069,COLUMBIA COUNTY,Masonry
490641,BAKER COUNTY,Wood
443968,BAKER COUNTY,Wood
433688,CLAY COUNTY,Wood
168578,CLAY COUNTY,Masonry
294375,CLAY COUNTY,Wood
902110,CLAY COUNTY,Wood
279816,CLAY COUNTY,Masonry
994565,CLAY COUNTY,Wood
930535,CLAY COUNTY,Wood
844642,CLAY COUNTY,Wood
292887,CLAY COUNTY,Wood
655128,CLAY COUNTY,Wood
164038,CLAY COUNTY,Wood
163057,CLAY COUNTY,Wood
327730,CLAY COUNTY,Wood
218187,CLAY COUNTY,Wood
697530,CLAY COUNTY,Wood
619053,CLAY COUNTY,Wood
431406,CLAY COUNTY,Wood
256801,CLAY COUNTY,Wood
571398,CLAY COUNTY,Wood
239669,CLAY COUNTY,Wood
530369,CLAY COUNTY,Wood
948187,CLAY COUNTY,Wood
571059,CLAY COUNTY,Wood
470539,CLAY COUNTY,Wood
791046,CLAY COUNTY,Wood
563971,CLAY COUNTY,Wood
823903,CLAY COUNTY,Wood
812504,CLAY COUNTY,Wood
597719,CLAY COUNTY,Wood
716513,CLAY COUNTY,Wood
378286,CLAY COUNTY,Wood
698982,CLAY COUNTY,Wood
624550,CLAY COUNTY,Wood
666076,CLAY COUNTY,Wood
474145,CLAY COUNTY,Wood
572929,CLAY COUNTY,Wood
640205,CLAY COUNTY,Wood
295930,CLAY COUNTY,Wood
823004,CLAY COUNTY,Wood
230536,CLAY COUNTY,Wood
936142,CLAY COUNTY,Wood
724639,CLAY COUNTY,Wood
119986,CLAY COUNTY,Wood
603370,CLAY COUNTY,Wood
532496,CLAY COUNTY,Wood
786954,CLAY COUNTY,Wood
416348,CLAY COUNTY,Wood
506364,CLAY COUNTY,Masonry
311994,CLAY COUNTY,Wood
807442,CLAY COUNTY,Wood
235695,CLAY COUNTY,Wood
481294,CLAY COUNTY,Wood
292670,CLAY COUNTY,Wood
127739,CLAY COUNTY,Wood
869056,CLAY COUNTY,Wood
514471,CLAY COUNTY,Wood
903764,CLAY COUNTY,Wood
192068,CLAY COUNTY,Wood
109815,CLAY COUNTY,Wood
495339,CLAY COUNTY,Masonry
752123,CLAY COUNTY,Wood
412775,CLAY COUNTY,Wood
249958,CLAY COUNTY,Wood
754919,CLAY COUNTY,Wood
829637,CLAY COUNTY,Wood
931429,CLAY COUNTY,Wood
565451,CLAY COUNTY,Wood
722334,CLAY COUNTY,Wood
630898,CLAY COUNTY,Wood
166536,CLAY COUNTY,Wood
469135,CLAY COUNTY,Masonry
678786,CLAY COUNTY,Masonry
284473,CLAY COUNTY,Masonry
499389,CLAY COUNTY,Masonry
541241,CLAY COUNTY,Reinforced Masonry
797586,CLAY COUNTY,Reinforced Masonry
812823,CLAY COUNTY,Wood
598244,CLAY COUNTY,Masonry
788363,CLAY COUNTY,Wood
737787,CLAY COUNTY,Wood
445518,CLAY COUNTY,Wood
758347,CLAY COUNTY,Masonry
195133,CLAY COUNTY,Wood
991548,CLAY COUNTY,Masonry
696936,CLAY COUNTY,Wood
393176,CLAY COUNTY,Wood
626647,CLAY COUNTY,Wood
915781,CLAY COUNTY,Masonry
827852,CLAY COUNTY,Wood
800420,CLAY COUNTY,Wood
728346,CLAY COUNTY,Reinforced Masonry
928642,CLAY COUNTY,Wood
442061,CLAY COUNTY,Wood
810826,CLAY COUNTY,Wood
336798,CLAY COUNTY,Wood
830917,CLAY COUNTY,Wood
984232,CLAY COUNTY,Masonry
203667,CLAY COUNTY,Wood
395084,CLAY COUNTY,Wood
869242,CLAY COUNTY,Wood
704537,CLAY COUNTY,Wood
692691,CLAY COUNTY,Wood
580758,CLAY COUNTY,Wood
515486,CLAY COUNTY,Wood
884079,CLAY COUNTY,Wood
491095,CLAY COUNTY,Masonry
579764,CLAY COUNTY,Wood
263177,CLAY COUNTY,Wood
710739,CLAY COUNTY,Wood
156129,CLAY COUNTY,Wood
178800,BRADFORD COUNTY,Wood
406073,BRADFORD COUNTY,Wood
450089,BRADFORD COUNTY,Wood
894206,NASSAU COUNTY,Wood
472007,NASSAU COUNTY,Masonry
500287,NASSAU COUNTY,Masonry
365732,NASSAU COUNTY,Wood
365145,NASSAU COUNTY,Wood
237841,NASSAU COUNTY,Wood
497561,NASSAU COUNTY,Wood
245837,NASSAU COUNTY,Masonry
732075,NASSAU COUNTY,Wood
657625,NASSAU COUNTY,Reinforced Masonry
790556,NASSAU COUNTY,Wood
207626,NASSAU COUNTY,Wood
902008,NASSAU COUNTY,Masonry
135936,HAMILTON COUNTY,Wood
997759,HAMILTON COUNTY,Wood
470224,HAMILTON COUNTY,Wood
367761,HAMILTON COUNTY,Wood
285586,HAMILTON COUNTY,Wood
122164,HAMILTON COUNTY,Wood
152913,HAMILTON COUNTY,Wood
655156,HAMILTON COUNTY,Wood
989201,HAMILTON COUNTY,Wood
207985,HAMILTON COUNTY,Wood
732449,HAMILTON COUNTY,Wood
665653,HAMILTON COUNTY,Wood
939634,HAMILTON COUNTY,Masonry
981796,HAMILTON COUNTY,Wood
269573,HAMILTON COUNTY,Wood
602123,HAMILTON COUNTY,Wood
336717,HAMILTON COUNTY,Wood
238449,HAMILTON COUNTY,Wood
530357,HAMILTON COUNTY,Wood
896911,HAMILTON COUNTY,Wood
391646,HAMILTON COUNTY,Wood
710345,HAMILTON COUNTY,Wood
944525,HAMILTON COUNTY,Wood
800878,HAMILTON COUNTY,Wood
866106,HAMILTON COUNTY,Wood
204794,HAMILTON COUNTY,Wood
849458,HAMILTON COUNTY,Wood
806471,HAMILTON COUNTY,Wood
464589,HAMILTON COUNTY,Wood
591943,UNION COUNTY,Masonry
973133,UNION COUNTY,Wood
743965,UNION COUNTY,Wood
528185,UNION COUNTY,Wood
219113,UNION COUNTY,Wood
376803,UNION COUNTY,Masonry
233559,COLUMBIA COUNTY,Masonry
579117,COLUMBIA COUNTY,Wood
517674,COLUMBIA COUNTY,Wood
980808,COLUMBIA COUNTY,Wood
143584,COLUMBIA COUNTY,Masonry
489643,COLUMBIA COUNTY,Masonry
986109,COLUMBIA COUNTY,Wood
654640,COLUMBIA COUNTY,Wood
700895,COLUMBIA COUNTY,Masonry
407962,COLUMBIA COUNTY,Steel Frame
494610,COLUMBIA COUNTY,Wood
744305,COLUMBIA COUNTY,Wood
512991,COLUMBIA COUNTY,Wood
507789,COLUMBIA COUNTY,Wood
186262,COLUMBIA COUNTY,Reinforced Masonry
978388,COLUMBIA COUNTY,Wood
784347,COLUMBIA COUNTY,Masonry
679408,COLUMBIA COUNTY,Wood
306619,COLUMBIA COUNTY,Wood
457004,COLUMBIA COUNTY,Wood
329255,COLUMBIA COUNTY,Wood
900892,COLUMBIA COUNTY,Wood
633241,COLUMBIA COUNTY,Wood
502372,COLUMBIA COUNTY,Wood
719075,COLUMBIA COUNTY,Wood
920786,COLUMBIA COUNTY,Wood
232605,COLUMBIA COUNTY,Wood
601984,COLUMBIA COUNTY,Wood
459878,COLUMBIA COUNTY,Wood
565530,COLUMBIA COUNTY,Masonry
202651,COLUMBIA COUNTY,Reinforced Masonry
909104,COLUMBIA COUNTY,Wood
872719,COLUMBIA COUNTY,Wood
997611,COLUMBIA COUNTY,Wood
519606,COLUMBIA COUNTY,Wood
624248,COLUMBIA COUNTY,Masonry
783767,COLUMBIA COUNTY,Wood
285479,COLUMBIA COUNTY,Wood
424793,COLUMBIA COUNTY,Wood
256213,COLUMBIA COUNTY,Wood
155199,COLUMBIA COUNTY,Wood
830871,COLUMBIA COUNTY,Wood
757768,COLUMBIA COUNTY,Wood
176583,COLUMBIA COUNTY,Wood
678864,COLUMBIA COUNTY,Wood
854000,COLUMBIA COUNTY,Wood
631978,COLUMBIA COUNTY,Wood
967058,COLUMBIA COUNTY,Wood
878374,COLUMBIA COUNTY,Wood
113053,COLUMBIA COUNTY,Wood
288738,COLUMBIA COUNTY,Wood
594369,COLUMBIA COUNTY,Wood
706890,COLUMBIA COUNTY,Wood
536032,COLUMBIA COUNTY,Wood
747825,COLUMBIA COUNTY,Wood
608124,COLUMBIA COUNTY,Wood
934739,COLUMBIA COUNTY,Wood
757078,COLUMBIA COUNTY,Wood
956518,COLUMBIA COUNTY,Wood
548584,COLUMBIA COUNTY,Wood
132904,COLUMBIA COUNTY,Wood
111857,COLUMBIA COUNTY,Wood
388383,COLUMBIA COUNTY,Wood
276410,BRADFORD COUNTY,Wood
546756,BRADFORD COUNTY,Wood
669229,MADISON COUNTY,Wood
766573,MADISON COUNTY,Wood
765578,MADISON COUNTY,Wood
166613,MADISON COUNTY,Reinforced Masonry
883261,MADISON COUNTY,Masonry
842655,MADISON COUNTY,Masonry
248167,SUWANNEE COUNTY,Masonry
976562,SUWANNEE COUNTY,Wood
620457,SUWANNEE COUNTY,Wood
336697,SUWANNEE COUNTY,Masonry
648295,SUWANNEE COUNTY,Wood
858080,SUWANNEE COUNTY,Wood
579910,SUWANNEE COUNTY,Masonry
735184,SUWANNEE COUNTY,Wood
420445,SUWANNEE COUNTY,Wood
373504,SUWANNEE COUNTY,Wood
266080,SUWANNEE COUNTY,Wood
178535,SUWANNEE COUNTY,Masonry
574531,BAKER COUNTY,Wood
606491,BAKER COUNTY,Wood
885991,BAKER COUNTY,Masonry
908170,BAKER COUNTY,Wood
487022,BAKER COUNTY,Masonry
723719,BAKER COUNTY,Wood
628922,BAKER COUNTY,Wood
232316,BAKER COUNTY,Reinforced Masonry
151933,BAKER COUNTY,Wood
225577,BAKER COUNTY,Wood
443296,BAKER COUNTY,Wood
747464,BAKER COUNTY,Masonry
548566,BAKER COUNTY,Wood
510281,BAKER COUNTY,Wood
481334,BAKER COUNTY,Wood
621142,BAKER COUNTY,Wood
907206,BAKER COUNTY,Wood
963412,BAKER COUNTY,Wood
561805,BAKER COUNTY,Wood
177053,BAKER COUNTY,Wood
888564,BAKER COUNTY,Wood
399592,BAKER COUNTY,Wood
616030,BAKER COUNTY,Wood
671336,BAKER COUNTY,Wood
914194,BAKER COUNTY,Wood
632104,BAKER COUNTY,Wood
895447,BAKER COUNTY,Wood
969519,BAKER COUNTY,Wood
149119,BAKER COUNTY,Wood
804466,BAKER COUNTY,Wood
688199,BAKER COUNTY,Wood
977912,BAKER COUNTY,Wood
312530,BAKER COUNTY,Wood
154572,BAKER COUNTY,Wood
299157,BAKER COUNTY,Wood
358433,BAKER COUNTY,Wood
131991,BAKER COUNTY,Masonry
844614,BAKER COUNTY,Wood
735501,BAKER COUNTY,Wood
703956,BAKER COUNTY,Masonry
547680,BAKER COUNTY,Wood
562722,BAKER COUNTY,Wood
820860,BAKER COUNTY,Wood
894562,BAKER COUNTY,Wood
577091,BAKER COUNTY,Wood
755818,BAKER COUNTY,Wood
839723,BAKER COUNTY,Wood
118899,BAKER COUNTY,Wood
612231,BAKER COUNTY,Wood
163526,BAKER COUNTY,Wood
278995,BAKER COUNTY,Wood
875706,BAKER COUNTY,Wood
712263,BAKER COUNTY,Wood
241888,BAKER COUNTY,Wood
115934,BAKER COUNTY,Masonry
214979,BAKER COUNTY,Wood
601369,BAKER COUNTY,Masonry
859735,BAKER COUNTY,Wood
868972,BAKER COUNTY,Wood
369631,BAKER COUNTY,Wood
130797,SUWANNEE COUNTY,Reinforced Masonry
770857,SUWANNEE COUNTY,Wood
834275,SUWANNEE COUNTY,Wood
102432,SUWANNEE COUNTY,Wood
776440,SUWANNEE COUNTY,Wood
945568,SUWANNEE COUNTY,Wood
132404,SUWANNEE COUNTY,Wood
395018,SUWANNEE COUNTY,Masonry
248575,SUWANNEE COUNTY,Masonry
812631,SUWANNEE COUNTY,Wood
220621,SUWANNEE COUNTY,Wood
139061,SUWANNEE COUNTY,Wood
419108,SUWANNEE COUNTY,Wood
391574,SUWANNEE COUNTY,Wood
449147,SUWANNEE COUNTY,Wood
998635,SUWANNEE COUNTY,Reinforced Concrete
437290,SUWANNEE COUNTY,Reinforced Masonry
395835,SUWANNEE COUNTY,Reinforced Masonry
613321,SUWANNEE COUNTY,Wood
865150,SUWANNEE COUNTY,Wood
635664,SUWANNEE COUNTY,Wood
529300,SUWANNEE COUNTY,Wood
430318,SUWANNEE COUNTY,Wood
441395,SUWANNEE COUNTY,Wood
294015,SUWANNEE COUNTY,Wood
950097,SUWANNEE COUNTY,Reinforced Masonry
110324,SUWANNEE COUNTY,Masonry
416938,SUWANNEE COUNTY,Masonry
586755,SUWANNEE COUNTY,Reinforced Masonry
863494,SUWANNEE COUNTY,Reinforced Masonry
574538,SUWANNEE COUNTY,Reinforced Masonry
514370,SUWANNEE COUNTY,Masonry
373414,SUWANNEE COUNTY,Wood
997019,SUWANNEE COUNTY,Wood
910144,SUWANNEE COUNTY,Wood
552357,SUWANNEE COUNTY,Wood
655342,SUWANNEE COUNTY,Wood
897773,SUWANNEE COUNTY,Wood
926390,SUWANNEE COUNTY,Wood
216408,SUWANNEE COUNTY,Masonry
548404,SUWANNEE COUNTY,Wood
206428,SUWANNEE COUNTY,Wood
292458,SUWANNEE COUNTY,Wood
919465,SUWANNEE COUNTY,Wood
630483,SUWANNEE COUNTY,Wood
825224,SUWANNEE COUNTY,Masonry
404295,SUWANNEE COUNTY,Wood
150387,SUWANNEE COUNTY,Wood
946844,SUWANNEE COUNTY,Wood
751897,SUWANNEE COUNTY,Reinforced Masonry
910845,SUWANNEE COUNTY,Wood
763316,SUWANNEE COUNTY,Wood
727002,SUWANNEE COUNTY,Wood
559336,SUWANNEE COUNTY,Wood
236251,SUWANNEE COUNTY,Wood
529747,SUWANNEE COUNTY,Wood
858323,SUWANNEE COUNTY,Masonry
158617,SUWANNEE COUNTY,Wood
334713,SUWANNEE COUNTY,Wood
318842,SUWANNEE COUNTY,Wood
649501,SUWANNEE COUNTY,Wood
445540,SUWANNEE COUNTY,Wood
371999,SUWANNEE COUNTY,Wood
218472,SUWANNEE COUNTY,Wood
580250,SUWANNEE COUNTY,Masonry
907556,SUWANNEE COUNTY,Masonry
327269,SUWANNEE COUNTY,Wood
892361,SUWANNEE COUNTY,Masonry
398442,SUWANNEE COUNTY,Wood
423598,SUWANNEE COUNTY,Wood
327184,SUWANNEE COUNTY,Wood
314582,SUWANNEE COUNTY,Reinforced Masonry
975779,SUWANNEE COUNTY,Wood
337568,SUWANNEE COUNTY,Reinforced Masonry
459597,SUWANNEE COUNTY,Wood
511988,SUWANNEE COUNTY,Wood
455917,SUWANNEE COUNTY,Masonry
304879,SUWANNEE COUNTY,Wood
881425,SUWANNEE COUNTY,Wood
208817,SUWANNEE COUNTY,Wood
918862,SUWANNEE COUNTY,Wood
523984,SUWANNEE COUNTY,Wood
226520,SUWANNEE COUNTY,Wood
413066,SUWANNEE COUNTY,Masonry
177491,SUWANNEE COUNTY,Wood
906786,SUWANNEE COUNTY,Wood
252960,SUWANNEE COUNTY,Reinforced Masonry
753041,SUWANNEE COUNTY,Wood
275656,SUWANNEE COUNTY,Reinforced Concrete
366151,SUWANNEE COUNTY,Masonry
143520,SUWANNEE COUNTY,Masonry
578715,SUWANNEE COUNTY,Wood
728171,SUWANNEE COUNTY,Wood
147189,SUWANNEE COUNTY,Masonry
626834,SUWANNEE COUNTY,Wood
840720,SUWANNEE COUNTY,Wood
911131,SUWANNEE COUNTY,Wood
814705,SUWANNEE COUNTY,Wood
896748,SUWANNEE COUNTY,Wood
640263,SUWANNEE COUNTY,Wood
756661,SUWANNEE COUNTY,Wood
267816,SUWANNEE COUNTY,Wood
876992,SUWANNEE COUNTY,Wood
866801,SUWANNEE COUNTY,Wood
135106,SUWANNEE COUNTY,Wood
995558,SUWANNEE COUNTY,Wood
577604,SUWANNEE COUNTY,Wood
334208,SUWANNEE COUNTY,Wood
601206,SUWANNEE COUNTY,Wood
335613,SUWANNEE COUNTY,Wood
586214,SUWANNEE COUNTY,Wood
645424,SUWANNEE COUNTY,Wood
584595,SUWANNEE COUNTY,Wood
924430,SUWANNEE COUNTY,Wood
842675,CLAY COUNTY,Wood
379599,CLAY COUNTY,Reinforced Masonry
280286,CLAY COUNTY,Reinforced Masonry
147622,CLAY COUNTY,Reinforced Concrete
592104,CLAY COUNTY,Wood
936914,CLAY COUNTY,Wood
689421,CLAY COUNTY,Wood
162509,CLAY COUNTY,Wood
205789,CLAY COUNTY,Wood
559033,CLAY COUNTY,Wood
411708,CLAY COUNTY,Wood
945341,CLAY COUNTY,Masonry
985128,CLAY COUNTY,Wood
859902,CLAY COUNTY,Masonry
767859,CLAY COUNTY,Wood
235747,CLAY COUNTY,Wood
644183,CLAY COUNTY,Wood
956443,CLAY COUNTY,Wood
278796,CLAY COUNTY,Wood
608556,CLAY COUNTY,Wood
454763,CLAY COUNTY,Wood
908461,CLAY COUNTY,Wood
333252,CLAY COUNTY,Wood
332105,CLAY COUNTY,Wood
874411,CLAY COUNTY,Wood
700665,CLAY COUNTY,Wood
582288,CLAY COUNTY,Wood
903047,CLAY COUNTY,Wood
446936,CLAY COUNTY,Wood
758257,CLAY COUNTY,Wood
205579,CLAY COUNTY,Wood
542261,CLAY COUNTY,Wood
467776,CLAY COUNTY,Wood
547808,CLAY COUNTY,Wood
148603,CLAY COUNTY,Wood
620151,CLAY COUNTY,Wood
423148,CLAY COUNTY,Wood
285805,CLAY COUNTY,Wood
666963,CLAY COUNTY,Wood
218058,CLAY COUNTY,Reinforced Concrete
824968,CLAY COUNTY,Masonry
583791,CLAY COUNTY,Wood
288895,CLAY COUNTY,Wood
622218,CLAY COUNTY,Reinforced Masonry
471679,CLAY COUNTY,Masonry
330603,CLAY COUNTY,Wood
340377,CLAY COUNTY,Wood
325580,CLAY COUNTY,Wood
355939,CLAY COUNTY,Wood
537551,CLAY COUNTY,Wood
817217,CLAY COUNTY,Wood
307610,CLAY COUNTY,Wood
934843,CLAY COUNTY,Wood
479633,CLAY COUNTY,Wood
261810,CLAY COUNTY,Wood
251498,CLAY COUNTY,Wood
652676,CLAY COUNTY,Wood
430162,CLAY COUNTY,Wood
107565,CLAY COUNTY,Wood
137773,CLAY COUNTY,Wood
